respondent_id,field_day,supplier,screener_version,loi_minutes,age_band,gender,region,education,urbanicity,aware,consider,used_12m,b1,b2,b3,b4,b5,b6,b7,b8
R00001,1,Meridian,v1_3month,6.9,35-54,Female,Northeast,Some college,Urban,0,0,0,4,3,1,5,5,4,2,1
R00002,5,Colwyn,v2_12month,9.8,35-54,Female,Northeast,High school or less,Suburban,1,0,0,4,5,2,3,3,4,1,2
R00003,4,Colwyn,v2_12month,5.8,18-34,Female,West,Bachelor's or higher,Urban,1,0,0,3,2,1,5,4,3,2,1
R00004,3,Meridian,v2_12month,6.9,55-64,Female,Midwest,Some college,Suburban,1,0,0,4,5,1,2,5,1,2,3
R00005,2,Meridian,v1_3month,9.6,35-54,Female,South,Bachelor's or higher,Suburban,1,1,1,3,2,5,4,2,1,4,3
R00006,5,Colwyn,v2_12month,6.8,55-64,Male,South,Bachelor's or higher,Urban,1,0,0,2,3,5,1,3,4,1,2
R00007,6,Colwyn,v2_12month,9.3,35-54,Female,Midwest,High school or less,Urban,0,0,0,4,3,2,1,3,2,1,5
R00008,1,Meridian,v1_3month,9.2,55-64,Female,South,Bachelor's or higher,Suburban,1,1,1,5,1,2,3,4,5,1,2
R00009,3,Meridian,v2_12month,8.3,18-34,Male,West,Bachelor's or higher,Suburban,1,1,1,3,2,1,4,4,3,1,5
R00010,1,Meridian,v1_3month,6.3,35-54,Female,South,Some college,Urban,1,1,1,5,4,3,2,4,3,2,1
R00011,8,Colwyn,v2_12month,7.9,18-34,Male,West,Some college,Urban,0,0,0,4,5,2,3,5,1,3,4
R00012,9,Colwyn,v2_12month,6.5,18-34,Female,West,Bachelor's or higher,Rural,1,0,0,5,4,2,1,4,3,1,5
R00013,4,Colwyn,v2_12month,6.3,55-64,Male,West,Bachelor's or higher,Suburban,0,0,0,2,3,4,5,3,4,5,1
R00014,4,Colwyn,v2_12month,9.2,35-54,Female,Midwest,High school or less,Urban,1,0,0,3,2,1,5,4,3,2,1
R00015,4,Colwyn,v2_12month,9.7,18-34,Female,South,Bachelor's or higher,Suburban,0,0,0,4,5,2,3,3,4,1,2
R00016,9,Colwyn,v2_12month,8.2,18-34,Female,Midwest,Bachelor's or higher,Urban,0,0,0,5,4,2,1,1,5,3,2
R00017,9,Colwyn,v2_12month,8.8,35-54,Female,South,Some college,Urban,1,1,0,4,5,1,2,3,4,5,1
R00018,2,Meridian,v1_3month,8.7,65+,Female,Midwest,Some college,Suburban,0,0,0,4,3,2,1,3,2,1,5
R00019,9,Colwyn,v2_12month,9.6,35-54,Male,West,Some college,Suburban,1,0,0,1,2,4,5,2,3,5,1
R00020,9,Colwyn,v2_12month,5.3,18-34,Male,Northeast,High school or less,Suburban,1,0,0,5,1,3,4,4,5,2,3
R00021,6,Colwyn,v2_12month,8.9,18-34,Female,South,Bachelor's or higher,Urban,1,1,1,4,3,2,1,5,4,3,2
R00022,1,Meridian,v1_3month,5.0,35-54,Male,South,High school or less,Suburban,1,1,1,4,5,1,2,3,4,5,1
R00023,4,Colwyn,v2_12month,6.3,65+,Female,South,Bachelor's or higher,Suburban,1,0,0,4,3,1,5,5,4,2,1
R00024,6,Colwyn,v2_12month,9.3,35-54,Male,West,High school or less,Suburban,1,1,1,4,5,2,3,5,1,3,4
R00025,8,Colwyn,v2_12month,8.4,18-34,Female,Midwest,High school or less,Suburban,1,0,0,1,5,4,3,5,4,3,2
R00026,6,Colwyn,v2_12month,9.0,18-34,Male,South,Some college,Rural,0,0,0,4,5,1,2,5,1,2,3
R00027,4,Colwyn,v2_12month,5.3,18-34,Male,South,High school or less,Urban,1,0,0,4,3,1,5,3,2,5,4
